0.12, 0.34, 1.56, 0.98
0.15, 0.45, 1.67, 1.05
0.18, 0.36, 1.58, 1.10
0.20, 0.40, 1.60, 1.15
0.25, 0.42, 1.62, 1.20
0.30, 0.45, 1.65, 1.25
0.28, 0.43, 1.63, 1.22
0.27, 0.41, 1.61, 1.18
0.26, 0.39, 1.59, 1.16
0.24, 0.37, 1.57, 1.12
0.22, 0.35, 1.55, 1.10
0.20, 0.33, 1.53, 1.08
0.18, 0.31, 1.51, 1.06
0.16, 0.29, 1.49, 1.04
0.14, 0.27, 1.47, 1.02
0.12, 0.25, 1.45, 1.00
0.10, 0.23, 1.43, 0.98
0.15, 0.26, 1.49, 1.03
0.20, 0.29, 1.55, 1.08
0.25, 0.32, 1.61, 1.13
0.30, 0.35, 1.67, 1.18
0.34, 0.37, 1.72, 1.23
0.38, 0.39, 1.77, 1.28
0.42, 0.41, 1.82, 1.33
0.46, 0.43, 1.87, 1.38
0.50, 0.45, 1.92, 1.43
0.48, 0.42, 1.88, 1.39
0.46, 0.39, 1.84, 1.35
0.44, 0.36, 1.80, 1.31
0.42, 0.33, 1.76, 1.27
0.40, 0.30, 1.72, 1.23
0.38, 0.27, 1.68, 1.19
0.36, 0.24, 1.64, 1.15
0.34, 0.21, 1.60, 1.11
0.32, 0.18, 1.56, 1.07
0.30, 0.15, 1.52, 1.03
0.28, 0.12, 1.48, 0.99
0.26, 0.10, 1.44, 0.95
0.24, 0.08, 1.40, 0.91
0.22, 0.06, 1.36, 0.87
0.20, 0.04, 1.32, 0.83
